Tree_GlobalID,INSPID,INSP_GlobalID,Risk_GlobalID,Risk_Defect,Risk_DefectLocation,Risk_Failure,Risk_ImpactTarget,Risk_FailureImpact,Risk_FailureConsequence,RiskRating,MitigationRecommendation
174280C9-CD84-4A15-AE8D-6D051CB5FC5C,6399709,F14522BC-21C1-40FD-98C8-EBCDEF44D30E,16922832-4E9F-4DD8-964D-C4812355DFCD,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
2982C31A-4D3F-4720-BF55-B41F79A38321,6528394,2A8FA537-8054-46FD-9EE7-A70761CC69DE,B347A08E-520D-4723-A583-4B4150B3B45B,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
BA362213-D554-4835-B786-D08E63CB54B9,6550295,4AF92BF1-A70E-4654-983E-2684CFE57689,1A962ED5-869B-47EE-9FFD-06DF4F753CC7,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
17C1132A-55CF-4B9E-A4D6-F2187C5A1905,6548901,90DAE7F6-21FD-43B8-A967-84D268AA6FB3,A33FD7DC-0D29-405B-8EB9-B17C4F9FAE2A,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
C01E0489-7849-49B2-B20F-51DD773596A1,4128501,C389D8B0-61E5-431F-9370-AEF269200C4C,11EA497F-0ED2-497B-BFFB-8A77E2B0131D,Poor Tree Architecture,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NWN
317F9BC5-F371-472D-8925-A2C040264701,6263352,704C1916-0237-45DA-B036-36BE424025CF,ADAA6571-9ED7-4040-B77A-95640A87BD97,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
47005B9A-9B55-42AF-B88C-AB7A286BDC1B,7340376,059FBD6F-6C21-4309-B358-0492AFF3E1D7,8C6CCCBA-97E8-42C5-B6BF-E6B410885C89,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
894B53E7-1A54-4851-9FD6-5A32D67CBE01,7764963,5B051416-5935-4FF9-8D17-FD1D6B90FB02,50C3D6B3-664D-45A5-A8C5-AF2EC0DB2BD8,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
2BBEF555-9DAA-42C3-BA3A-C6280BC765B0,7813781,22141858-57C0-4FB2-BC0C-EF4B4EF31BF2,A8651BAD-DFE5-4D97-8EDE-0E9272A7936E,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
CA13F307-F088-40DE-BCBA-643F7A5F502D,7897995,8682D759-B868-448B-87EC-256BFDA25E6E,39408EAF-3D09-4EC9-A73D-687B8673C415,Dead Wood,Stem,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
781E8B27-CD1E-4BC3-8637-B86C8631BDC9,6325515,6C88AFD0-F910-4100-97B0-07004DB98356,F801D53A-D845-4A67-86D1-42D98081C4A1,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
878FBEF7-D784-49D5-A19A-462244BB85F0,8015646,FFE0933F-D396-434E-BCAA-984BED6A4E12,289D8500-7B85-4D3E-A529-2C4C29A71388,Dead Wood,Stem,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
BBCD91CB-4A22-4E5F-80C2-D4808D620E20,7866929,5C208851-8747-40BA-A7E9-82F207F342B7,F9E9DE68-3CC7-4F38-8956-90C9ACD065A7,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
14DE2488-AE9B-41AF-BF70-3D96FBFF411E,7082306,7E36BBC0-1FF3-4F78-9A6C-85441D419718,0C9C0D95-70FB-4A45-9626-292DD50177C1,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
876BE8DF-5542-45EE-93C0-F365915C270D,6765910,3236D7C6-82DB-4293-9672-90FB41CB0ADB,F0D32C95-BEEE-4B90-AAE8-7007DF904471,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
4CFB4C60-4276-47B8-BB4A-9FC929395CDF,4699829,7C7566AF-BBFD-43CC-9E8B-DD543B05FE45,121D2ACA-C82A-4AAA-9AAE-24888BA9F154,Root Problems,Roots,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),remove
21F6199F-28F9-4D59-BF53-2EAC602ED717,6779145,02FAE881-BE98-4634-B850-9A8AED890AEB,FC2A721A-1E2D-43A1-B191-D2C8CADDFA4D,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
3AB7CED1-CA33-4B4D-8A1A-05C0598DDB47,6815353,9E465B4C-80C0-4A68-8456-46C06B2A855E,6442D8ED-EB8B-40AE-ABBC-AF293DF99AE1,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
4A17602A-69A3-4E62-9AAE-9757E63BD1A2,7443884,6D49818B-ED78-4BDD-A6D0-0B10F2CE1BE6,7BC60188-5B41-4E54-BF4D-408A2C5E388D,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
9D5E622F-318B-4726-9054-85E554D9FC9E,6400311,994328C8-B53F-40F2-8507-74E426055BD3,76FC1341-E6DE-40C6-8F6B-94BE7A5476AD,Weak Branch Unions,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
3D9BA179-133A-4D61-BB81-91E2B2852FEF,6915784,CE24D3BC-919C-4CD5-BE66-0A46B230BF67,4FD7F8F0-A9DE-4EC0-AED1-54E2B8167613,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
76FDDCA3-998B-4EBD-854B-21D8888A0C13,7460908,87FA4AB3-ACD7-4A21-9F98-455ED5F678FE,1A895981-7485-47B0-B1A7-BD342325CD01,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
C2F26AB9-1F84-42F3-AC81-5DCE5A1A886A,6920509,A3A01EA2-8678-4BFD-8C73-681608E3ECCF,A2897960-D691-47CC-ABC3-377CF916401A,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
9878A491-675E-4C38-806F-0F106B45B3B6,7821084,2C370AB9-412F-4C22-AC3D-F06C7D763364,17C7CF8D-48FC-423F-A63E-0C832BC1AF74,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
306085AA-EE56-4AC5-A8AC-97A605DEE646,8254211,76F8304F-5479-475A-A77C-249C361B8775,A9BC0527-0EEE-4AD2-BDDA-1CFC88F8435B,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NO WORK NEEDED
3353CE5D-6B41-449F-8F9C-ED0F1A88C2C4,8660658,5C089083-139D-4389-9D35-1822458426BF,D48E20BD-413A-41F2-808E-B78F7CB6EAEA,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
337F2E49-B11D-4D8D-8058-26C3E55FC35C,8664343,ECC22C88-778A-4F08-8C55-B439C1F96FA9,A296FA36-C4C4-4E77-BCAA-4116F62FDB9C,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
35E24CC1-00A6-4310-B8BB-075701824484,8675562,850638EE-EA7B-417C-AD8B-9650FC425D1D,AA4935BD-943D-4845-9524-8D9ACD9A862E,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
03CB6965-6EA3-4F8F-9E31-A6D8FB664033,7212428,78DB1E27-5C5B-45F2-8E9C-843BE3D978D0,5F566338-3BEC-45A7-8875-69DB8519BC3D,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NWN ON TREE
BF608A0A-61CD-4013-8C4F-BA3BA9790050,7236465,AEE70484-452A-48EE-A683-9719A7B83571,2EC54C6A-3469-400E-BAA2-EDFA40A6929E,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
0E735A5A-019C-4FEE-B8BE-852E96B075E3,6666576,C81A869D-AB91-4E36-8508-FED1DC1B3090,EEC51474-696F-4A41-9859-C3C0B58603B3,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
E4FF6D72-3318-4BF6-8D55-EA1B291BDEAE,8625740,4CF3898D-88DA-42D6-B528-66B0BFBE846A,48DA1D5F-A215-4D13-810C-5970700FAB43,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
2265F8DB-38CF-4BB4-89D5-21F89BDA2D6F,7730437,9DBBE16C-7313-47E3-B3D1-131C8F5A2557,7F8AD0AE-ADE3-4162-9831-A8676417591E,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
A8EE7300-4F92-4136-AC11-CD1153A51F18,7538353,C03ECBAC-FDFC-40E6-9151-BA4DA5CEECD7,E67F4459-D541-451C-B3E6-CC4438B343FC,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
9D5E622F-318B-4726-9054-85E554D9FC9E,7545348,A366FF1B-4140-4712-AF48-84C04F5608AA,8862F5FF-AF7E-4B16-97C8-DF230C4E97FD,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
80094B06-B63D-479C-931C-1BE072BFF935,7566923,0C3ECCC3-F4E9-478D-A337-33EA399EAD97,57F1731F-8088-4463-A591-8A3969056A73,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
B646FF9D-EA8E-4BC7-8967-B5F84FA60E6A,7243012,7A2D14F8-922A-4C9A-BDD7-DBFA4D11E0FD,AB8F6022-329C-48B9-95FA-299AF2A4F4B7,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NWN
866454C1-FFA8-43E0-B0EC-AC64F9986489,8725035,19F757FE-ED06-4F28-9802-005A93431092,0AE91876-F8F0-4088-99A5-E9ABA6F2C7A4,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
D9383203-1013-42AC-BE14-73AAAC11ABC5,8788595,466BF943-64B7-4861-8C54-A2940BC7206B,B8CD4992-ABA9-4EB4-B7CB-57E66F34D0A3,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
A24AF05A-F17E-4C6D-A114-DDD5B77546C8,8907336,742401B5-03DF-4D5F-8D67-E73BB5035462,4A4C725D-4E5D-4E76-A0E1-B5BC3396240A,No Visible Defect,Entire Tree,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),block prune
101BF220-2BA7-4DF3-B01B-E22317DEDC58,8663073,C256347B-8543-4599-8788-8772752C9433,CD519A63-2296-4DA7-95A2-608EAE1E5A1A,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
7229833B-D815-4783-8A2F-8E029FAB8F55,7378654,E216B1B8-BCB8-46FE-B6F8-EE0947F81F9F,5F6EC203-41B1-4B35-8A43-36CAE38005B4,Dead Wood,Stem,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
BF5B487C-F999-437B-B9E8-836A8AEF100E,7343101,AE7FE069-DFDA-4CF4-9FAB-A12F30E2E874,CFE60788-2FCE-4332-B837-372CD6758DFD,Dead Wood,Stem,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
8E1A96FE-C565-43B5-9551-FE6A33E17513,7748068,AB11F4A9-C51D-478F-B567-910E87BCF8DA,31DFD72C-0FCA-4B51-85E0-3560F0E60CE3,Dead Wood,Stem,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
72C356A5-2015-496D-BBD0-0935DB3182A3,8715842,73A66CF6-CDDE-478B-B936-F6B47F2C3420,DA2BFFD5-B09D-49B1-A6D5-B3CF07E7F86F,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
F1F85EF2-B2DE-417E-B991-26B8EDC579A3,8715838,75633849-6D08-4B80-9756-9257CFFE69FF,1A4FE3C2-E1C3-4688-8EB4-F8E9E81BDBBC,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
4DE86D1B-0EB6-4657-A34D-D1373B2A5066,9035592,E0F9F5E0-7409-46BC-8E2D-A036E97A830B,B03F6752-407D-4FE8-A856-72DE7F6274BB,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
610C59F8-145C-4A1A-9A8F-557913BCE6AC,9263205,EF6EB7B1-4EDA-4030-B302-2DCADD1988BE,625E061C-2BAF-48BC-857F-34D62B5E1B48,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
3A7C9618-2C04-45AB-AE72-E5B972B438F9,9327504,DD7262B6-342B-4FE3-B03B-0EA9A56D2283,A7C57493-6C95-4623-BBB8-38A658ECD622,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
39EDF8BE-BB71-4CD7-82CF-AC3187CBDFEE,9342395,D176AEC2-187F-4F65-9921-D6DE5B828D42,3F13B6AB-EAC5-48EF-A574-3D694D23EA90,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
1FC9DC0F-BAB5-47E1-ADB9-D2E8C7D9BCC4,8650614,7C1D9925-5B48-4AA4-BE6E-9A1EA9664765,2D5C17F9-FC26-4A5A-93FC-6A6E627FBF87,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
E2FAD3E7-69E9-4078-A03C-57BA30FD053A,8643922,D7D7B4B4-4D21-4065-BF9E-504C26A42FD8,2A985990-5227-49A4-995B-1B7AA332F85F,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
8E1A96FE-C565-43B5-9551-FE6A33E17513,7485602,2B9FB596-CD8E-4F1E-97B6-42AC790D3D5A,69C54D4C-350D-4346-BC94-884F402BADDA,Dead Wood,Stem,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
79E52B91-DD3E-4BD2-A539-0449B92A2AB3,9071706,76EE141F-09D8-4DCB-8DFB-7C23DAB34481,806EDE46-6BF5-46AC-BD23-C1144B137649,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),replant
A4E16F40-947A-4E4A-88D4-221564E11460,9670846,1756AD5E-4FF6-4380-8C54-AFA25D0491CE,AE7C7F11-F256-491B-9629-3B16F1A589C8,Dead Wood,Branches,Improbable (1),Very Low (1),Unlikely (2),Negligible (1),Low (3),NULL
